codigo_ibge,municipio,populacao,ano
1304237,TONANTINS - AM,20257,2025
1304260,UARINI - AM,15640,2025
1304302,URUCARÁ - AM,19617,2025
1304401,URUCURITUBA - AM,25965,2025
1400027,AMAJARI - RR,16112,2025
1400050,ALTO ALEGRE - RR,23589,2025
1400100,BOA VISTA - RR,485477,2025
1400159,BONFIM - RR,15570,2025
1400175,CANTÁ - RR,21102,2025
1400209,CARACARAÍ - RR,22750,2025
1400233,CAROEBE - RR,12004,2025
1400282,IRACEMA - RR,10937,2025
1400308,MUCAJAÍ - RR,20006,2025
1400407,NORMANDIA - RR,16323,2025
1400456,PACARAIMA - RR,23112,2025
1400472,RORAINÓPOLIS - RR,37787,2025
1400506,SÃO JOÃO DA BALIZA - RR,9969,2025
1400605,SÃO LUIZ - RR,7848,2025
1400704,UIRAMUTÃ - RR,16186,2025
1500107,ABAETETUBA - PA,172344,2025
1500131,ABEL FIGUEIREDO - PA,6275,2025
1500206,ACARÁ - PA,63110,2025
1500305,AFUÁ - PA,40473,2025
1500347,ÁGUA AZUL DO NORTE - PA,17596,2025
1500404,ALENQUER - PA,75882,2025
1500503,ALMEIRIM - PA,36442,2025
1500602,ALTAMIRA - PA,138749,2025
1500701,ANAJÁS - PA,30247,2025
1500800,ANANINDEUA - PA,509227,2025
1500859,ANAPU - PA,35638,2025
1500909,AUGUSTO CORRÊA - PA,47912,2025
1500958,AURORA DO PARÁ - PA,24193,2025
1501006,AVEIRO - PA,19380,2025
1501105,BAGRE - PA,35147,2025
1501204,BAIÃO - PA,56850,2025
1501253,BANNACH - PA,4290,2025
1501303,BARCARENA - PA,139076,2025
1501402,BELÉM - PA,1397315,2025
1501451,BELTERRA - PA,19075,2025
1501501,BENEVIDES - PA,68962,2025
1501576,BOM JESUS DO TOCANTINS - PA,19129,2025
1501600,BONITO - PA,12961,2025
1501709,BRAGANÇA - PA,132489,2025
1501725,BRASIL NOVO - PA,27130,2025
1501758,BREJO GRANDE DO ARAGUAIA - PA,6966,2025
1501782,BREU BRANCO - PA,47066,2025
1501808,BREVES - PA,116058,2025
1501907,BUJARU - PA,25065,2025
1501956,CACHOEIRA DO PIRIÁ - PA,19223,2025
1502004,CACHOEIRA DO ARARI - PA,25467,2025
1502103,CAMETÁ - PA,144859,2025
1502152,CANAÃ DOS CARAJÁS - PA,89524,2025
1502202,CAPANEMA - PA,75309,2025
1502301,CAPITÃO POÇO - PA,60318,2025
1502400,CASTANHAL - PA,209126,2025
1502509,CHAVES - PA,21501,2025
1502608,COLARES - PA,13625,2025
1502707,CONCEIÇÃO DO ARAGUAIA - PA,47144,2025
1502756,CONCÓRDIA DO PARÁ - PA,28270,2025
1502764,CUMARU DO NORTE - PA,15150,2025
1502772,CURIONÓPOLIS - PA,20975,2025
1502806,CURRALINHO - PA,36814,2025
1502855,CURUÁ - PA,14954,2025
1502905,CURUÇÁ - PA,44880,2025
1502939,DOM ELISEU - PA,62823,2025
1502954,ELDORADO DO CARAJÁS - PA,29287,2025
1503002,FARO - PA,9167,2025
1503044,FLORESTA DO ARAGUAIA - PA,18595,2025
1503077,GARRAFÃO DO NORTE - PA,25558,2025
1503093,GOIANÉSIA DO PARÁ - PA,26703,2025
1503101,GURUPÁ - PA,34137,2025
1503200,IGARAPÉ-AÇU - PA,37925,2025
1503309,IGARAPÉ-MIRI - PA,69446,2025
1503408,INHANGAPI - PA,10784,2025
1503457,IPIXUNA DO PARÁ - PA,29264,2025
1503507,IRITUIA - PA,32740,2025
1503606,ITAITUBA - PA,135369,2025
1503705,ITUPIRANGA - PA,52201,2025
1503754,JACAREACANGA - PA,26579,2025
1503804,JACUNDÁ - PA,37726,2025
1503903,JURUTI - PA,54255,2025
1504000,LIMOEIRO DO AJURU - PA,32088,2025
1504059,MÃE DO RIO - PA,37473,2025
1504109,MAGALHÃES BARATA - PA,8439,2025
1504208,MARABÁ - PA,290975,2025
1504307,MARACANÃ - PA,27129,2025
1504406,MARAPANIM - PA,28159,2025
1504422,MARITUBA - PA,119437,2025
1504455,MEDICILÂNDIA - PA,28677,2025
1504505,MELGAÇO - PA,30080,2025
1504604,MOCAJUBA - PA,28903,2025
1504703,MOJU - PA,91760,2025
1504752,MOJUÍ DOS CAMPOS - PA,25818,2025
1504802,MONTE ALEGRE - PA,64002,2025
1504901,MUANÁ - PA,49648,2025
1504950,NOVA ESPERANÇA DO PIRIÁ - PA,21304,2025
1504976,NOVA IPIXUNA - PA,14400,2025
1505007,NOVA TIMBOTEUA - PA,13175,2025
1505031,NOVO PROGRESSO - PA,37054,2025
1505064,NOVO REPARTIMENTO - PA,63796,2025
1505106,ÓBIDOS - PA,55527,2025
1505205,OEIRAS DO PARÁ - PA,36734,2025
1505304,ORIXIMINÁ - PA,72889,2025
1505403,OURÉM - PA,18783,2025
1505437,OURILÂNDIA DO NORTE - PA,35252,2025
1505486,PACAJÁ - PA,43741,2025
1505494,PALESTINA DO PARÁ - PA,7063,2025
1505502,PARAGOMINAS - PA,113498,2025
1505536,PARAUAPEBAS - PA,305771,2025
1505551,PAU D'ARCO - PA,7354,2025
1505601,PEIXE-BOI - PA,8686,2025
1505635,PIÇARRA - PA,13366,2025
1505650,PLACAS - PA,18510,2025
1505700,PONTA DE PEDRAS - PA,25736,2025
1505809,PORTEL - PA,67580,2025
1505908,PORTO DE MOZ - PA,44121,2025
1506005,PRAINHA - PA,38733,2025
1506104,PRIMAVERA - PA,11379,2025
1506112,QUATIPURU - PA,11838,2025
1506138,REDENÇÃO - PA,92694,2025
1506161,RIO MARIA - PA,19190,2025
1506187,RONDON DO PARÁ - PA,57031,2025
1506195,RURÓPOLIS - PA,37198,2025
1506203,SALINÓPOLIS - PA,48663,2025
1506302,SALVATERRA - PA,25687,2025
1506351,SANTA BÁRBARA DO PARÁ - PA,22530,2025
1506401,SANTA CRUZ DO ARARI - PA,7626,2025
1506500,SANTA IZABEL DO PARÁ - PA,79195,2025
1506559,SANTA LUZIA DO PARÁ - PA,21295,2025
1506583,SANTA MARIA DAS BARREIRAS - PA,17065,2025
1506609,SANTA MARIA DO PARÁ - PA,25815,2025
1506708,SANTANA DO ARAGUAIA - PA,30455,2025
1506807,SANTARÉM - PA,360871,2025
1506906,SANTARÉM NOVO - PA,6355,2025
1507003,SANTO ANTÔNIO DO TAUÁ - PA,29234,2025
1507102,SÃO CAETANO DE ODIVELAS - PA,17258,2025
1507151,SÃO DOMINGOS DO ARAGUAIA - PA,21555,2025
1507201,SÃO DOMINGOS DO CAPIM - PA,32554,2025
1507300,SÃO FÉLIX DO XINGU - PA,64651,2025
1507409,SÃO FRANCISCO DO PARÁ - PA,15429,2025
1507458,SÃO GERALDO DO ARAGUAIA - PA,24929,2025
1507466,SÃO JOÃO DA PONTA - PA,4470,2025
1507474,SÃO JOÃO DE PIRABAS - PA,21477,2025
1507508,SÃO JOÃO DO ARAGUAIA - PA,14293,2025
1507607,SÃO MIGUEL DO GUAMÁ - PA,55970,2025
1507706,SÃO SEBASTIÃO DA BOA VISTA - PA,27651,2025
1507755,SAPUCAIA - PA,6212,2025
1507805,SENADOR JOSÉ PORFÍRIO - PA,24989,2025
1507904,SOURE - PA,25315,2025
1507953,TAILÂNDIA - PA,75290,2025
1507961,TERRA ALTA - PA,10837,2025
